database,year,title,authors,type,journal_or_source,volume,issue,pages,doi,url,other_urls,query
OpenAlex,1963,Arthur O. Lovejoy and the History of Ideas,John Herman Randall,article,Philosophy and Phenomenological Research,,,,https://doi.org/10.2307/2104513,https://openalex.org/W2318203053,https://doi.org/10.2307/2104513,Arthur O. Lovejoy
OpenAlex,1948,Arthur O. Lovejoy and the Theory of Historiography,Maurice Mandelbaum,article,Journal of the History of Ideas,,,,https://doi.org/10.2307/2707214,https://openalex.org/W2325075983,https://doi.org/10.2307/2707214,Arthur O. Lovejoy
OpenAlex,1963,Reflections on Human Nature.,Ian G. Wallace; Arthur O. Lovejoy,article,HighWire Press Open Archive; The Philosophical Quarterly,,,,https://doi.org/10.2307/2955534,https://openalex.org/W1967213345,http://pq.oxfordjournals.org/cgi/content/short/13/53/369; https://doi.org/10.2307/2955534,Arthur O. Lovejoy
OpenAlex,1963,The Philosophical Method of Arthur O. Lovejoy: Critical Realism and Psychoanalytical Realism,Lewis S. Feuer,article,Philosophy and Phenomenological Research,,,,https://doi.org/10.2307/2104515,https://openalex.org/W2316587247,https://doi.org/10.2307/2104515,Arthur O. Lovejoy
OpenAlex,1949,<i>Essays in the History of Ideas</i>. Arthur O. Lovejoy,Hàrry Levin,article,Isis,,,,https://doi.org/10.1086/349023,https://openalex.org/W2511941615,https://doi.org/10.1086/349023,Arthur O. Lovejoy
OpenAlex,1911,Schopenhauer as an Evolutionist,Arthur O. Lovejoy,article,The Monist,,,,https://doi.org/10.5840/monist191121240,https://openalex.org/W2331385066,https://doi.org/10.5840/monist191121240,Arthur O. Lovejoy
OpenAlex,1936,"<i>A Documentary History of Primitivism and Related Ideas. Volume I: Primitivism and Related Ideas in Antiquity</i>. Arthur O. Lovejoy , George Boas",George Sarton,article,Isis,,,,https://doi.org/10.1086/347079,https://openalex.org/W2078051090,https://doi.org/10.1086/347079,Arthur O. Lovejoy
OpenAlex,1951,"Essays in the History of Ideas. By Arthur O. Lovejoy. (The Johns Hopkins Press, Baltimore; London, Cumberlege. 1948. Pp. 354. Price 27s. 6d.",D. J. Allan,article,Philosophy,,,,https://doi.org/10.1017/s0031819100026929,https://openalex.org/W2019028339,https://doi.org/10.1017/s0031819100026929,Arthur O. Lovejoy
OpenAlex,1906,The Fundamental Concept of Primitive Philosophy,Arthur O. Lovejoy,article,The Monist; Zenodo (CERN European Organization for Nuclear Research),,,,https://doi.org/10.5840/monist190616324,https://openalex.org/W2315371639,http://doi.org/10.5840/monist190616324; https://doi.org/10.5840/monist190616324,Arthur O. Lovejoy
OpenAlex,1906,IV.—KANT'S ANTITHESIS OF DOGMATISM AND CRITICISM,Arthur O. Lovejoy,article,HighWire Press Open Archive; Mind; Zenodo (CERN European Organization for Nuclear Research),,,,https://doi.org/10.1093/mind/xv.58.191,https://openalex.org/W2047744407,http://mind.oxfordjournals.org/cgi/content/short/XV/58/191; https://doi.org/10.1093/mind/xv.58.191; https://zenodo.org/record/1590303,Arthur O. Lovejoy
